DATE,SDAY,RACENUM,TYPE,SURFACE,DISTLEN,DISTMEA,PURSE,NUMHORSES,FIN1,PRGNUM1,PPNUM1,FODDS1,PTFAV1,FIN2,PRGNUM2,PPNUM2,FODDS2,PTFAV2,FIN3,PRGNUM3,PPNUM3,FODDS3,PTFAV3,FIN4,PRGNUM4,PPNUM4,FODDS4,PTFAV4
20190711,1,1,CLAIMING,DIRT,9.5,FURLONGS,32000,9,1,2,2,4.7,FALSE,2,6,6,5.1,FALSE,3,3,3,8.7,FALSE,4,7,7,2.2,FALSE
20190711,1,2,MADIEN,TURF,5.5,FURLONGS,90000,9,1,2,2,0.9,TRUE,2,11,8,7.7,FALSE,3,7,6,24.5,FALSE,4,12,9,4.4,FALSE
20190711,1,3,ALLOWANCE,DIRT,9,FURLONGS,92000,7,1,3,3,10.4,FALSE,2,6,6,4.1,FALSE,3,7,7,2.9,FALSE,4,4,4,1.65,TRUE
20190711,1,4,CLAIMING,TURF,8,FURLONGS,35000,9,1,2,2,1.95,TRUE,2,7,6,5.3,FALSE,3,8,7,7.3,FALSE,4,1,1,10.8,FALSE
20190711,1,5,MADIEN,DIRT,5.5,FURLONGS,78000,9,1,5,5,14.0,FALSE,2,6,6,2.45,TRUE,3,9,8,2.65,FALSE,4,2,2,3.85,FALSE
20190711,1,6,ALLOWANCE,TURF,5.5,FURLONGS,80000,9,1,8,7,14.7,FALSE,2,1A,6,3.1,TRUE,3,5,2,18.4,FALSE,4,2,6,21.9,FALSE
20190711,1,7,ALLOWANCE,TURF,9,FURLONGS,83000,9,1,10,8,2.85,FALSE,2,11,9,3.85,FALSE,3,4,4,1.95,TRUE,4,3,3,15.7,FALSE
20190711,1,8,G3,DIRT,6,FURLONGS,150000,8,1,5,5,3.1,FALSE,2,9,8,3.8,FALSE,3,1,1,1.1,TRUE,4,7,7,13.2,FALSE
20190711,1,9,G3,TURF,5.5,FURLONGS,100000,7,1,4,3,1.4,TRUE,2,2,2,11.4,FALSE,3,9,6,14.6,FALSE,4,10,7,5.9,FALSE
20190711,1,10,MADIEN,DIRT,9,FURLONGS,40000,3,1,12,3,1.05,TRUE,2,2,1,2.3,FALSE,3,6,2,1.45,FALSE,4,NA,NA,NA,NA
20190712,2,1,MADIEN,DIRT,9,FURLONGS,40000,8,1,3,3,3.3,FALSE,2,8,8,2.6,FALSE,3,2,2,2.3,TRUE,4,5,5,3.5,FALSE
20190712,2,2,MADIEN,DIRT,9,FURLONGS,78000,7,1,13,7,0.75,TRUE,2,1A,6,7.9,FALSE,3,6,1,5.5,FALSE,4,9,3,14.1,FALSE
20190712,2,3,ALLOWANCE,TURF,8.5,FURLONGS,95000,6,1,6,5,4.2,FALSE,2,4,2,2.2,FALSE,3,3,1,1.65,TRUE,4,5,5,3.25,FALSE
20190712,2,4,CLAIMING,DIRT,7,FURLONGS,34000,9,1,9,9,2.7,FALSE,2,7,7,16.1,FALSE,3,1,1,42.75,FALSE,4,3,3,1.7,TRUE
20190712,2,5,MADIEN,DIRT,5.5,FURLONGS,90000,8,1,6,6,12.9,FALSE,2,2,2,2.15,FALSE,3,7,7,8.9,FALSE,4,4,4,1.3,TRUE
20190712,2,6,CLAIMING,DIRT,9,FURLONGS,70000,7,1,1,6,2.25,FALSE,2,1A,7,2.25,FALSE,3,6,5,9.5,FALSE,4,3,2,3.65,FALSE
20190712,2,7,ALLOWANCE,DIRT,5.5,FURLONGS,80000,8,1,9,4,1.95,TRUE,2,15,7,2.3,FALSE,3,16,8,6.2,FALSE,4,3,6,5.8,FALSE
20190712,2,8,ALLOWANCE,DIRT,9,FURLONGS,80000,5,1,7,5,4.3,FALSE,2,1,1,6.8,FALSE,3,6,4,1.35,TRUE,4,4,3,14.0,FALSE
20190712,2,9,G3,TURF,8,FURLONGS,150000,10,1,9,9,13.8,FALSE,2,3,3,12.8,FALSE,3,8,8,2.15,TRUE,4,6,6,10.4,FALSE
20190712,2,10,MADIEN,DIRT,5.5,FURLONGS,48000,6,1,8,4,5.4,FALSE,2,2,1,0.7,TRUE,3,14,5,9.2,FALSE,4,5,3,6.3,FALSE
20190713,3,1,CLAIMING,DIRT,7,FURLONGS,35000,7,1,9,6,1.9,FALSE,2,10,7,1.3,TRUE,3,3,2,6.7,FALSE,4,8,5,16.9,FALSE
20190713,3,2,MADIEN,TURF,5.5,FURLONGS,10,48000,1,5,4,3.6,FALSE,2,3,3,2.35,TRUE,3,1,1,6.4,FALSE,4,6,5,83.0,FALSE
20190713,3,3,G3,DIRT,6,FURLONGS,150000,5,1,5,5,1.4,TRUE,2,4,4,4.6,FALSE,3,2,2,3.35,FALSE,4,3,3,3.3,FALSE
20190713,3,4,MADIEN,DIRT,5.5,FURLONGS,90000,8,1,6,6,1.45,TRUE,2,4,4,19.1,FALSE,3,8,8,9.7,FALSE,4,1,1,2.15,FALSE
20190713,3,5,ALLOWANCE,TURF,5.5,FURLONGS,92000,8,1,1,4,1.9,TRUE,2,8,6,4.8,FALSE,3,7,5,5.4,FALSE,4,5,3,10.0,FALSE
20190713,3,6,MADIEN,TURF,8.5,FURLONGS,90000,9,1,3,2,2.95,FALSE,2,2,1,5.3,FALSE,3,8,7,2.35,TRUE,4,5,4,12.1,FALSE
20190713,3,7,ALLOWANCE,DIRT,6,FURLONGS,80000,9,1,2,2,10.8,FALSE,2,7,7,3.35,FALSE,3,8,8,2.2,TRUE,4,4,4,51.5,FALSE
20190713,3,8,MADIEN,TURF,5.5,FURLONGS,90000,8,1,6,6,2.7,FALSE,2,7,7,1.6,TRUE,3,2,2,3.85,FALSE,4,4,4,14.4,FALSE
20190713,3,9,G1,TURF,9,FURLONGS,500000,6,1,4,4,1.9,FALSE,2,2,2,1.6,TRUE,3,6,6,2.9,FALSE,4,5,5,17.3,FALSE
20190713,3,10,ALLOWANCE,DIRT,7,FURLONGS,92000,9,1,7,7,12.6,FALSE,2,3,3,13.3,FALSE,3,5,5,0.85,TRUE,4,2,2,8.4,FALSE
20190713,3,11,CLAIMING,TURF,8,FURLONGS,52000,10,1,8,6,5.3,FALSE,2,4,4,12.3,FALSE,3,12,10,4.7,FALSE,4,9,8,8.5,FALSE
